Row ID;Row Name;equipId;value;mtrlId;eventFlag_forStock;eventFlag_forRelease;sellQuantity;equipType;costType;setNum;value_Add;value_Magnification;iconId;nameMsgId;menuTitleMsgId;menuIconId
1;;240;100;-1;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
30000;;150;0;300000;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
30100;;300;0;301000;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
30101;;301;0;301010;0;67260;-1;3;0;1;0;1;-1;-1;-1;-1;
30102;;302;0;301020;0;67250;-1;3;0;1;0;1;-1;-1;-1;-1;
30103;;320;0;301030;0;68010;-1;3;0;1;0;1;-1;-1;-1;-1;
30104;;321;0;301040;0;68020;-1;3;0;1;0;1;-1;-1;-1;-1;
30105;;330;0;301050;0;67800;-1;3;0;1;0;1;-1;-1;-1;-1;
30106;;340;0;301060;0;67910;-1;3;0;1;0;1;-1;-1;-1;-1;
30107;;350;0;301070;0;67610;-1;3;0;1;0;1;-1;-1;-1;-1;
30108;;351;0;301080;0;67630;-1;3;0;1;0;1;-1;-1;-1;-1;
30109;;360;0;301090;0;67460;-1;3;0;1;0;1;-1;-1;-1;-1;
30110;;370;0;301100;0;67870;-1;3;0;1;0;1;-1;-1;-1;-1;
30111;;380;0;301110;0;67100;-1;3;0;1;0;1;-1;-1;-1;-1;
30112;;390;0;301120;0;67120;-1;3;0;1;0;1;-1;-1;-1;-1;
30113;;391;0;301130;0;67830;-1;3;0;1;0;1;-1;-1;-1;-1;
30114;;400;0;301140;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
30115;;420;0;301150;0;68010;-1;3;0;1;0;1;-1;-1;-1;-1;
30116;;430;0;301160;0;67800;-1;3;0;1;0;1;-1;-1;-1;-1;
30117;;440;0;301170;0;67870;-1;3;0;1;0;1;-1;-1;-1;-1;
30118;;450;0;301180;0;67100;-1;3;0;1;0;1;-1;-1;-1;-1;
30119;;460;0;301190;0;67400;-1;3;0;1;0;1;-1;-1;-1;-1;
30120;;470;0;301200;0;67910;-1;3;0;1;0;1;-1;-1;-1;-1;
30122;;490;0;301220;0;67230;-1;3;0;1;0;1;-1;-1;-1;-1;
30123;;510;0;301230;0;67610;-1;3;0;1;0;1;-1;-1;-1;-1;
30124;;600;0;301240;0;67230;-1;3;0;1;0;1;-1;-1;-1;-1;
30125;;610;0;301250;0;67480;-1;3;0;1;0;1;-1;-1;-1;-1;
30126;;630;0;301260;0;67060;-1;3;0;1;0;1;-1;-1;-1;-1;
30127;;640;0;301270;0;68200;-1;3;0;1;0;1;-1;-1;-1;-1;
30128;;650;0;301280;0;67430;-1;3;0;1;0;1;-1;-1;-1;-1;
30129;;660;0;301290;0;67400;-1;3;0;1;0;1;-1;-1;-1;-1;
30130;;661;0;301300;0;67440;-1;3;0;1;0;1;-1;-1;-1;-1;
30131;;670;0;301310;0;67890;-1;3;0;1;0;1;-1;-1;-1;-1;
30200;;810;0;302000;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
30201;;811;0;302010;0;67070;-1;3;0;1;0;1;-1;-1;-1;-1;
30202;;812;0;302020;0;67090;-1;3;0;1;0;1;-1;-1;-1;-1;
30300;;900;0;303000;0;67210;-1;3;0;1;0;1;-1;-1;-1;-1;
30301;;910;0;303010;0;67050;-1;3;0;1;0;1;-1;-1;-1;-1;
30302;;920;0;303020;0;67290;-1;3;0;1;0;1;-1;-1;-1;-1;
30303;;930;0;303030;0;67290;-1;3;0;1;0;1;-1;-1;-1;-1;
30304;;940;0;303040;0;67300;-1;3;0;1;0;1;-1;-1;-1;-1;
30305;;950;0;303050;0;68230;-1;3;0;1;0;1;-1;-1;-1;-1;
30306;;960;0;303060;0;68400;-1;3;0;1;0;1;-1;-1;-1;-1;
30400;;1100;0;304000;0;67010;-1;3;0;1;0;1;-1;-1;-1;-1;
30401;;1110;0;304010;0;67310;-1;3;0;1;0;1;-1;-1;-1;-1;
30402;;1120;0;304020;0;67110;-1;3;0;1;0;1;-1;-1;-1;-1;
30403;;1130;0;304030;0;67090;-1;3;0;1;0;1;-1;-1;-1;-1;
30404;;1140;0;304040;0;67270;-1;3;0;1;0;1;-1;-1;-1;-1;
30405;;1150;0;304050;0;67220;-1;3;0;1;0;1;-1;-1;-1;-1;
30406;;1160;0;304060;0;67200;-1;3;0;1;0;1;-1;-1;-1;-1;
30407;;1170;0;304070;0;68020;-1;3;0;1;0;1;-1;-1;-1;-1;
30408;;1180;0;304080;0;67130;-1;3;0;1;0;1;-1;-1;-1;-1;
30409;;1190;0;304090;0;67650;-1;3;0;1;0;1;-1;-1;-1;-1;
30410;;1200;0;304100;0;67600;-1;3;0;1;0;1;-1;-1;-1;-1;
30411;;1210;0;304110;0;67280;-1;3;0;1;0;1;-1;-1;-1;-1;
30413;;1310;0;304130;0;67310;-1;3;0;1;0;1;-1;-1;-1;-1;
30414;;1320;0;304140;0;67110;-1;3;0;1;0;1;-1;-1;-1;-1;
30415;;1330;0;304150;0;67090;-1;3;0;1;0;1;-1;-1;-1;-1;
30416;;1340;0;304160;0;67270;-1;3;0;1;0;1;-1;-1;-1;-1;
30500;;1400;0;305000;0;67200;-1;3;0;1;0;1;-1;-1;-1;-1;
30501;;1410;0;305010;0;68000;-1;3;0;1;0;1;-1;-1;-1;-1;
30502;;1420;0;305020;0;67420;-1;3;0;1;0;1;-1;-1;-1;-1;
30503;;1430;0;305030;0;67640;-1;3;0;1;0;1;-1;-1;-1;-1;
30504;;1440;0;305040;0;67020;-1;3;0;1;0;1;-1;-1;-1;-1;
30505;;1450;0;305050;0;68220;-1;3;0;1;0;1;-1;-1;-1;-1;
30506;;1460;0;305060;0;67880;-1;3;0;1;0;1;-1;-1;-1;-1;
30507;;1470;0;305070;0;67450;-1;3;0;1;0;1;-1;-1;-1;-1;
30508;;1480;0;305080;0;68030;-1;3;0;1;0;1;-1;-1;-1;-1;
30509;;1490;0;305090;0;67890;-1;3;0;1;0;1;-1;-1;-1;-1;
30510;;1500;0;305100;0;67200;-1;3;0;1;0;1;-1;-1;-1;-1;
30511;;1510;0;305110;0;68000;-1;3;0;1;0;1;-1;-1;-1;-1;
30512;;1520;0;305120;0;67420;-1;3;0;1;0;1;-1;-1;-1;-1;
30513;;1530;0;305130;0;67640;-1;3;0;1;0;1;-1;-1;-1;-1;
30514;;1540;0;305140;0;67020;-1;3;0;1;0;1;-1;-1;-1;-1;
30515;;1550;0;305150;0;68220;-1;3;0;1;0;1;-1;-1;-1;-1;
30516;;1560;0;305160;0;67880;-1;3;0;1;0;1;-1;-1;-1;-1;
30518;;1590;0;305180;0;67890;-1;3;0;1;0;1;-1;-1;-1;-1;
30519;;1690;0;305190;0;67400;-1;3;0;1;0;1;-1;-1;-1;-1;
30600;;1710;0;306000;0;0;-1;3;0;5;0;1;-1;-1;-1;-1;
30601;;1720;0;306010;0;67870;-1;3;0;5;0;1;-1;-1;-1;-1;
30602;;1740;0;306020;0;67220;-1;3;0;5;0;1;-1;-1;-1;-1;
30700;;2020;0;307000;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
30701;;2030;0;307010;0;67110;-1;3;0;1;0;1;-1;-1;-1;-1;
30702;;2050;0;307020;0;67600;-1;3;0;1;0;1;-1;-1;-1;-1;
30703;;2100;0;307030;0;67050;-1;3;0;1;0;1;-1;-1;-1;-1;
30704;;2120;0;307040;0;67100;-1;3;0;1;0;1;-1;-1;-1;-1;
30800;;3030;0;308000;0;67410;-1;3;0;1;0;1;-1;-1;-1;-1;
30801;;3310;0;308010;0;67070;-1;3;0;1;0;1;-1;-1;-1;-1;
30802;;3311;0;308020;0;68410;-1;3;0;1;0;1;-1;-1;-1;-1;
30803;;3320;0;308030;0;67600;-1;3;0;1;0;1;-1;-1;-1;-1;
30804;;3350;0;308040;0;68210;-1;3;0;1;0;1;-1;-1;-1;-1;
30900;;3500;0;309000;0;67840;-1;3;0;1;0;1;-1;-1;-1;-1;
30901;;3510;0;309010;0;67840;-1;3;0;1;0;1;-1;-1;-1;-1;
30902;;3520;0;309020;0;67860;-1;3;0;1;0;1;-1;-1;-1;-1;
30903;;3550;0;309030;0;67850;-1;3;0;1;0;1;-1;-1;-1;-1;
30904;;3580;0;309040;0;67850;-1;3;0;1;0;1;-1;-1;-1;-1;
30905;;3610;0;309050;0;67920;-1;3;0;1;0;1;-1;-1;-1;-1;
32000;;50030000;0;320000;0;67000;-1;0;0;10;0;1;-1;-1;-1;-1;
32001;;50110000;0;320010;0;67000;-1;0;0;10;0;1;-1;-1;-1;-1;
32002;;50130000;0;320020;0;67210;-1;0;0;10;0;1;-1;-1;-1;-1;
32003;;50140000;0;320030;0;67210;-1;0;0;10;0;1;-1;-1;-1;-1;
32004;;50150000;0;320040;0;67010;-1;0;0;10;0;1;-1;-1;-1;-1;
32005;;50160000;0;320050;0;67010;-1;0;0;10;0;1;-1;-1;-1;-1;
